package_id,customer_name,route_zone,qr_id
PKG_20260612_001,전시우,2026-06-12,QR_20260612_001
PKG_20260612_002,정다은,2026-06-13,QR_20260612_002
PKG_20260612_003,안준우,2026-06-12,QR_20260612_003
PKG_20260612_004,신민서,2026-06-14,QR_20260612_004
PKG_20260612_005,전민서,2026-06-13,QR_20260612_005
PKG_20260612_006,권수아,2026-06-13,QR_20260612_006
PKG_20260612_007,장윤서,2026-06-12,QR_20260612_007
PKG_20260612_008,박지민,2026-06-14,QR_20260612_008
PKG_20260612_009,황하준,2026-06-14,QR_20260612_009
PKG_20260612_010,이예준,2026-06-13,QR_20260612_010
PKG_20260612_011,최지후,2026-06-13,QR_20260612_011
PKG_20260612_012,신민서,2026-06-12,QR_20260612_012
PKG_20260612_013,서예준,2026-06-13,QR_20260612_013
PKG_20260612_014,윤다은,2026-06-12,QR_20260612_014
PKG_20260612_015,권시우,2026-06-13,QR_20260612_015
PKG_20260612_016,오하준,2026-06-14,QR_20260612_016
PKG_20260612_017,장시우,2026-06-12,QR_20260612_017
PKG_20260612_018,임서연,2026-06-13,QR_20260612_018
PKG_20260612_019,한하은,2026-06-12,QR_20260612_019
PKG_20260612_020,윤다은,2026-06-14,QR_20260612_020
